USA;EUR;JAP
3 Ninjas Kick Back;;
A-X-101;;
Adventures of Batman and Robin, The;;
Adventures of Willy Beamish, The;;
After Burner III;;
AH3 - Thunderstrike;Thunderhawk;
Amazing Spider-Man vs. The Kingpin, The;;
Android Assault - The Revenge of Bari-Arm;;
Animals!, The;;
Batman Returns;;
Battlecorps;;
BC Racers;;
Beast II;Shadow of the Beast II;
Bill Walsh College Football;;
Blackhole Assault;;
Bloodshot ~ Battle Frenzy (En,Fr,De,Es);;
Bouncers;;
Bram Stoker's Dracula;;
Brutal - Paws of Fury;;
Bug Blasters - The Exterminators;;
Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil);;
Championship Soccer '94;;
Chuck Rock;;
Chuck Rock II - Son of Chuck;;
Cliffhanger;;
Cobra Command;;
Colors of Modern Rock, The;;
Compton's Interactive Encyclopedia (v2.10);;
Corpse Killer;;
Crime Patrol;;
Dark Wizard;;
Demolition Man;;
Double Switch;;
Dracula Unleashed (Disc 1);;
Dracula Unleashed (Disc 2);;
Dragon's Lair;;
Dune;;
Dungeon Explorer;;
Dungeon Master II - Skullkeep;;
Earthworm Jim - Special Edition;;
Ecco - The Tides of Time;;
Ecco the Dolphin;;
ESPN Baseball Tonight;;
ESPN National Hockey Night;;
ESPN NBA Hangtime '95;;
ESPN Sunday Night NFL;;
Eternal Champions - Challenge from the Dark Side;;
Eye of the Beholder;;
Fahrenheit;Fahrenheit ;
Fatal Fury Special;;
FIFA International Soccer;FIFA International Soccer - Championship Edition;
FIFA International Soccer - Championship Edition;FIFA International Soccer;
Final Fight CD;;
Flashback - The Quest for Identity;;
Flink;;
Formula One World Championship - Beyond the Limit;;
Ground Zero Texas;;
;;
Heart of the Alien - Out of This World Parts I and II;;
Heimdall;;
Hook;;
Iron Helix;;
Jaguar XJ220;;
Jeopardy!;;
Joe Montana's NFL Football;;
Jurassic Park;;
Keio Flying Squadron;;
Kids on Site;;
Lawnmower Man, The;;
Lethal Enforcers;;
Lethal Enforcers II - Gun Fighters;;
Links - The Challenge of Golf;;
Loadstar - The Legend of Tully Bodine (USA, Brazil);;
Lords of Thunder;;
Lunar - Eternal Blue;;
Lunar - The Silver Star;;
Mad Dog II - The Lost Gold;;
Mad Dog McCree;;
Make My Video - INXS;;
Make My Video - Kris Kross;;
Make My Video - Marky Mark and the Funky Bunch;;
Mansion of Hidden Souls;Yumemi Mystery Mansion;
Marko;Marko's Magic Football;
Marko's Magic Football;Marko;
Mary Shelley's Frankenstein;;
Masked Rider, The - Kamen Rider ZO;;
Mickey Mania;Mickey Mania - The Timeless Adventures of Mickey Mouse;
Mickey Mania - The Timeless Adventures of Mickey Mouse;Mickey Mania;
Microcosm;;
Midnight Raiders;;
Mighty Morphin Power Rangers;;
Mortal Kombat;;
My Paint;;
NBA Jam;;
NFL Football Trivia Challenge;;
NFL's Greatest - San Francisco vs. Dallas 1978-1993;;
NHL '94;NHL Hockey '94;
NHL Hockey '94;NHL '94;
Night Trap;;
Novastorm;;
Panic!;;
Pier Solar and the Great Architects Enhanced Soundtrack Disc;;
Pitfall - The Mayan Adventure;;
Popful Mail;;
Power Factory;;
Power Monger;;
Prince of Persia;;
Prize Fighter;;
;;
Puggsy;;
Racing Aces;;
Radical Rex;;
RDF - Global Conflict;;
Revenge of the Ninja;;
Revengers of Vengeance;;
Rise of the Dragon;;
Road Avenger;;
Road Rash;;
Robo Aleste;;
Samurai Shodown;;
Secret of Monkey Island, The;;
Sega Classics Arcade Collection (4 in 1);;
Sega Classics Arcade Collection (v1.01);;
Sega Classics Arcade Collection - Limited Edition;Sega Classics Arcade Collection (5 in 1);
Sewer Shark (Rev 1);;
Shadow of the Beast II;Beast II;
Sherlock Holmes - Consulting Detective;;
Sherlock Holmes - Consulting Detective Vol. II;;
Shining Force CD;;
Silpheed;;
Slam City with Scottie Pippen (Fingers);;
Slam City with Scottie Pippen (Juice);;
Slam City with Scottie Pippen (Mad Dog);;
Slam City with Scottie Pippen (Smash);;
Smurfs, The;;
Snatcher;;
Software Toolworks' Star Wars Chess, The;;
Sol-Feace;;
Sonic CD;;
SoulStar;;
Space Ace;;
Space Adventure, The - Cobra - The Legendary Bandit;;
Star Wars - Rebel Assault;;
Starblade;;
Stellar-Fire;;
Supreme Warrior (Fire & Earth);;
Supreme Warrior (Wind & Fang Tu);;
Surgical Strike;;
Terminator, The;;
Theme Park;;
Third World War;;
Thunderhawk;AH3 - Thunderstrike;
Time Gal;;
Tomcat Alley;;
Trivial Pursuit;;
Ultraverse Prime;;
Vay;;
Wheel of Fortune;;
Who Shot Johnny Rock;;
Wild Woody;;
Wing Commander;;
WireHead;;
Wolfchild;;
Wonder Dog;;
World Cup USA '94;;
WWF - Rage in the Cage;;
Yumemi Mystery Mansion;Mansion of Hidden Souls;
